lokasi,bulan,tanggal,account,kode_unit,id_unit,nama_unit,jenis_unit,kategori,kegiatan,remark,jumlah_jam
BUHUT,Aug,2026-08-14,641106233205231 035,332-052,332052,EXCAVATOR HITACHI ZX 210G-5G 332-052,Excavator Breaker 20 Ton,AB,WS-PERBAIKAN DAN MAINTENANCE UNIT,332-052   GREASING,1.0
BUHUT,Aug,2026-08-14,641106233204531 035,332-045,332045,EXCAVATOR HITACHI ZX 210 F-5G 332-045,Excavator Breaker 20 Ton,AB,WS-PERBAIKAN DAN MAINTENANCE UNIT,332-045   GREASING,1.0
BUHUT,Aug,2026-08-14,641106233203831 035,332-038,332038,EXCAVATOR HITACHI ZX 210 F-5G 332-038,Excavator Breaker 20 Ton,AB,WS-PERBAIKAN DAN MAINTENANCE UNIT,332-038   GREASING,1.0
BUHUT,Aug,2026-08-14,641106233203832 035,332-038,332038,EXCAVATOR HITACHI ZX 210 F-5G 332-038,Excavator Breaker 20 Ton,AB,WS-PERBAIKAN UNIT,332-038   STEL PRESURE BREAKER,1.5
BUHUT,Aug,2026-08-14,641106233205532 035,332-055,332055,EXCAVATOR HITACHI ZX350H-5G 332-055,Excavator Breaker 30 Ton,AB,WS-PERBAIKAN UNIT,332-055   STEL PRESURE OLI,1.0
BUHUT,Aug,2026-08-14,641106233203832 035,332-038,332038,EXCAVATOR HITACHI ZX 210 F-5G 332-038,Excavator Breaker 20 Ton,AB,WS-PERBAIKAN UNIT,332-038   STEL PRESURE BREAKER,1.0
BUHUT,Aug,2026-08-14,641106231203532 165,312-035,312035,DUMP TRUCK HINO FM 280 JD 312-035,DT FM 260 JD,AB,WS-PERBAIKAN UNIT,"312-035   GANTI TYRE NO 10,REPAIR VELG,G",1.5
BUHUT,Aug,2026-08-14,641106233205532 035,332-055,332055,EXCAVATOR HITACHI ZX350H-5G 332-055,Excavator Breaker 30 Ton,AB,WS-PERBAIKAN UNIT,332-055   STEL PRESURE BREAKER,1.0
BUHUT,Aug,2026-08-14,641106233204532 035,332-045,332045,EXCAVATOR HITACHI ZX 210 F-5G 332-045,Excavator Breaker 20 Ton,AB,WS-PERBAIKAN UNIT,332-045   GANTI PIPA BREAKER ARM KIRI,1.0
BUHUT,Aug,2026-08-14,641106233205232 035,332-052,332052,EXCAVATOR HITACHI ZX 210G-5G 332-052,Excavator Breaker 20 Ton,AB,WS-PERBAIKAN UNIT,332-052   LAS PIPA BREAKER,1.0
BUHUT,Aug,2026-08-14,641106233203832 035,332-038,332038,EXCAVATOR HITACHI ZX 210 F-5G 332-038,Excavator Breaker 20 Ton,AB,WS-PERBAIKAN UNIT,"332-038   REPAIR TRACK,ADJUST TRACK",10.0
BUHUT,Aug,2026-08-15,641106233204531 035,332-045,332045,EXCAVATOR HITACHI ZX 210 F-5G 332-045,Excavator Breaker 20 Ton,AB,WS-PERBAIKAN DAN MAINTENANCE UNIT,332-045   GREASING,1.5
BUHUT,Aug,2026-08-15,641106233205931 035,332-059,332059,EXCAVATOR KOMATSU PC210 332-059,Excavator Bucket,AB,WS-PERBAIKAN DAN MAINTENANCE UNIT,332-059   GREASING,1.0
BUHUT,Aug,2026-08-15,641106233205231 035,332-052,332052,EXCAVATOR HITACHI ZX 210G-5G 332-052,Excavator Breaker 20 Ton,AB,WS-PERBAIKAN DAN MAINTENANCE UNIT,332-052   GREASING,1.0
BUHUT,Aug,2026-08-15,641106231203531 035,312-035,312035,DUMP TRUCK HINO FM 280 JD 312-035,DT FM 260 JD,AB,WS-PERBAIKAN DAN MAINTENANCE UNIT,312-035   GREASING,1.0
BUHUT,Aug,2026-08-15,641106231203631 035,312-036,312036,DUMP TRUCK HINO FM 280 JD 312-036,DT FM 260 JD,AB,WS-PERBAIKAN DAN MAINTENANCE UNIT,312-036   GREASING,1.0
