tanggal,bulan,bulan_no,lokasi,kelompok,jenis_pemeliharaan,kategori_sparepart,tipe_biaya,nama_unit,biaya,keterangan
2026-01-15,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,FINAL DRIVE SYSTEM,SPAREPART,DUMP TRUCK HINO 130 HD DA 8012 CZ 251-051,400000.0,By pembelian spare part unit BKMS dan pembelian keperluan workshop
2026-01-15,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,HYDRAULIC SYSTEM,SPAREPART,ARM ROLL HINO 130 HD DA 8337 JJ 271-004,54000.0,By pembelian spare part unit BKMS dan pembelian keperluan workshop
2026-01-15,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,FRAME BODY & GUARD SYSTEM,LAIN-LAIN,DUMP TRUCK HINO 130HD DA 8571 CP 251-044,260000.0,By pembelian spare part unit BKMS dan pembelian keperluan workshop
2026-01-15,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,ELECTRICAL SYSTEM,SERVICE LUAR,BUS HINO 130 MDBL DA 9592 CL/ DA 7223 CD 231-002,100000.0,By pembelian spare part unit BKMS dan pembelian keperluan workshop
2026-01-15,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,ELECTRICAL SYSTEM,SPAREPART,BUS HINO 130 MDBL DA 9592 CL/ DA 7223 CD 231-002,300000.0,By pembelian spare part unit BKMS dan pembelian keperluan workshop
2026-01-15,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,ENGINE SYSTEM,SERVICE LUAR,TRUCK TANGKI HINO 130 HD DA 8597 CN 261-013,170000.0,By pembelian spare part unit BKMS dan pembelian keperluan workshop
2026-01-15,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,WHEEL & TYRE SYSTEM,SPAREPART,DUMP TRUCK HINO 130 HD DA 8675 CO 251-038,400000.0,By pembelian spare part unit BKMS dan pembelian keperluan workshop
2026-01-15,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,WHEEL & TYRE SYSTEM,SPAREPART,DUMP TRUCK HINO 130 HD DA 8681 CO 251-042,400000.0,By pembelian spare part unit BKMS dan pembelian keperluan workshop
2026-01-15,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,ELECTRICAL SYSTEM,LAIN-LAIN,TRUCK TANGKI HINO FG 235 DA 8343 JD 262-008,8000.0,By pembelian spare part unit BKMS dan pembelian keperluan workshop
2026-01-15,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,ELECTRICAL SYSTEM,LAIN-LAIN,TRUCK TANGKI HINO 130 HD DA 8567 CP 262-004,8000.0,By pembelian spare part unit BKMS dan pembelian keperluan workshop
2026-01-15,Jan,1,TANJUNG,MINING,NON RUTIN,ATTACHMENT SYSTEM,SPAREPART,TRUCK TANGKI HINO 130 HD DA 1521 Z 262-002,1350000.0,By. Pembelian sparepart untuk unit 262-002 & kabel untuk kantor
2026-01-15,Jan,1,KUMAI,PLANTATION,RUTIN,ELECTRICAL SYSTEM,SERVICE LUAR,DUMP TRUCK ISUZU NPS 254-002,550000.0,Via Dwi Amalia A
2026-01-15,Jan,1,KUMAI,PLANTATION,RUTIN,ENGINE SYSTEM,SPAREPART,EXCAVATOR HITACHI ZX130-5G 332-031,700000.0,Via Dwi Amalia A
2026-01-15,Jan,1,KUMAI,PLANTATION,RUTIN,SUSPENSION SYSTEM,SPAREPART,DUMP TRUCK ISUZU NPS 254-002,133334.0,Via Syahrani
2026-01-15,Jan,1,KUMAI,PLANTATION,RUTIN,SUSPENSION SYSTEM,SPAREPART,DUMP TRUCK ISUZU NPS 81 254-005,133333.0,Via Syahrani
2026-01-15,Jan,1,KUMAI,PLANTATION,RUTIN,SUSPENSION SYSTEM,SPAREPART,ARM ROLL ISUZU NPS 81 272-001,133333.0,Via Syahrani
2026-01-15,Jan,1,KUMAI,PLANTATION,RUTIN,SUSPENSION SYSTEM,SPAREPART,ARM ROLL ISUZU NPS 81 272-001,450000.0,Via Syahrani
2026-01-15,Jan,1,KUMAI,PLANTATION,RUTIN,BRAKE SYSTEM,SPAREPART,DUMP TRUCK HINO 130HD 251-058,41667.0,Via Syahrani
2026-01-15,Jan,1,KUMAI,PLANTATION,RUTIN,BRAKE SYSTEM,SPAREPART,DUMP TRUCK HINO 136 HDX DA 8707 JL 251-061,41667.0,Via Syahrani
